水晶乌鸦,4,98,['2021-02-12'],观影体验舒适，完成度很高，视效应该算得上是华语奇幻片的巅峰，个人觉得是春节档必需到影院看的奇幻大片了。也很适合和最亲近的人一起，感受和体悟关于羁绊的含义。最喜欢的依然是百旎和晴明之间的羁绊，贯穿了两人的一生。侍神终身为主，但主人也为侍神护佑，这种感情是超越友谊与爱情的存在。灵魂相交、生死与共，结合陈坤周迅二十年的至交友谊看，让这部电影整体的故事和情感表达都升华至了华语大片顶级水准。
Helle,2,92,['2021-02-12'],好莱坞类型片的一锅乱炖，还不及游戏文案组水平的十分之一；美术也混乱不堪，没有统一审美。两星都已经是友情分了。一百多的票都不如买个典藏皮肤了，摔！
没有感情的机器,2,91,['2021-02-12'],主仆SM调教，比《捉妖记》更低幼，比《晴雅集》还荒谬。
我说你去哪了,1,121,['2021-02-12'],屈楚萧这个烂人在里面像主角一样。最后，真的不如晴雅集。
消亡之人,1,121,['2021-02-12'],"2021年第一部电影是这部真的会让人觉得中国电影永远都没希望了。
问题太多太碎，不知从何说起。几乎有过往的中国奇幻电影犯过的所有的问题，很惊讶直到今天还是这样的。
最大的问题是毫无想象力，最有想象力的部分可能是让一群妖怪进行物理战斗，连接人妖两界的桥梁竟然是可以用嘴啃断的。
几乎是一种滤镜式创作，古代的、日式的、妖界的滤镜，甚至滤镜的效果和美学风格也是不统一的。
最烦的问题是对节奏完全没有把控力，战前陈词的时候屈楚萧插科打诨，仗打到一半再来慷慨激昂，说话的功夫够他死几万次了。"
诸葛亮,1,108,['2021-02-12'],看到睡觉💤不喜欢
小丸子的假期,4,701,['2021-02-12'],四🌟给周迅，给这位典型的人保戏的演员。百旎这个角色凭心而论确实不好演，戏份少不说，如果换做其他任先不说根陈坤的晴明能不能有cp感，一定是一个很没存在感的角色，但是周迅来演了，所以角色活了，她的台词一出，声音搭配这张脸，整个画面都精致贵了起来。
doll well,4,87,['2021-02-12'],特效做得真好，数字角色的精细程度真的服了。被侍神又戳萌点又戳泪点的，心都化了，请问哪里可以领养一只这样可爱的侍神？
沁言子,1,98,['2021-02-12'],这部根本就没有买原著版权，只是买了游戏版权，而原著作者说了从来没有授权给游戏，最烦这种操作了！！我求求陈坤挑几部好点的电影吧，别再营销美貌了！那是没演技的人干的事！你不年轻了！多演点良心之作还能冲冲奖，一个大奖都没有，不尴尬么？？
山吹绿,2,91,['2021-02-12'],后半段简直不能看，角色集体降智，阴阳师打得跟超级英雄一样
二月鸟语,1,79,['2021-02-12'],3.8/10，一星半。意料之中，一部视觉系片子，太无聊了。说实在的，剧本还不如郭敬明的《阴阳师》，游戏改编还是没有原著改编靠谱！但服装和美术做的不错，可以加1分。屈楚萧的演技太尬了....给沈月加1分，就酱～（郭敬明阴阳师一星，这部其实不相上下，但综合上可以多半星）
tree.,1,112,['2021-02-12'],巨难看，妖怪像西游记的狮驼岭群演，毫无美感，剧情问号，我给郭敬明道歉🙇
